strata,description,land size,year,land,building,total value
14,residential,4812,1992,2311000,692000,3003000
14,residential,3659,1942,219000,178000,397000
14,residential,4233,1964,2206000,141000,2347000
14,residential,4183,1992,2615000,540000,3155000
14,residential,6334,2018,231600,464000,695600
14,residential,7500,2003,1220000,644000,1864000
14,residential,5316,1955,1043000,52200,1095200
14,residential,7494,2016,1219000,1049000,2268000
14,unclassified,7494,1962,1219000,149000,1368000
14,residential,7494,2016,1219000,1068000,2287000
14,residential,7381,1969,1122000,106000,1228000
14,residential,6020,1996,934000,443000,1377000
14,residential,7384,1960,1122000,298000,1420000
14,residential,9174,1959,1209000,54400,1263400
14,residential,10082,2009,1282000,997000,2279000
14,residential,9945,1975,1231000,143000,1374000
14,residential,11212,1980,1760000,14900,1774900
14,residential,12917,2006,1496000,1100000,2596000
14,residential,9889,1982,1240000,201000,1441000
14,residential,7194,1977,1176000,347000,1523000
14,residential,9825,1979,1239000,176000,1415000
14,residential,10016,1977,1318000,298000,1616000
14,residential,7194,1976,1086000,112000,1198000
14,residential,7906,1976,1121000,233000,1354000
14,residential,7554,1976,1058000,167000,1225000
14,residential,8064,1979,1054000,210000,1264000
14,residential,7368,1979,912000,212000,1124000
14,residential,8934,1978,1004000,249000,1253000
14,residential,7206,1989,869000,313000,1182000
14,residential,11900,1976,1076000,223000,1299000
14,residential,6525,1976,875000,106000,981000
14,residential,7924,1976,941000,130000,1071000
14,residential,7654,1975,1053000,149000,1202000
14,residential,8973,2016,1171000,845000,2016000
14,residential,9258,1976,987000,143000,1130000
14,residential,6595,1976,1142000,223000,1365000
