strata,description,land size,year,land,building,total value
4,residential,9243,1960,1532000,14200,1546200
4,residential,8708,1975,1443000,14100,1457100
4,townhouse,1667,1987,365500,0,365500
4,garage,17424,1965,4201000,8000,4209000
4,townhouse,1186,1968,365500,0,365500
4,townhouse,1156,1969,365500,0,365500
4,residential,7014,1959,774000,155000,929000
4,residential,9245,1959,779000,50600,829600
4,residential,8705,1994,2106000,100000,2206000
4,residential,14010,2016,868000,1071000,1939000
4,residential,7268,1961,785000,146000,931000
4,residential,7942,1961,837000,139000,976000
4,residential,5848,1979,599000,59100,658100
4,residential,11267,1958,827000,20700,847700
4,residential,8843,1958,1060000,11200,1071200
4,residential,7996,1965,887000,86200,973200
4,residential,5889,1978,832000,90100,922100
4,residential,5868,1978,832000,115000,947000
4,residential,7467,1972,932000,134000,1066000
4,residential,10211,1956,1090000,60200,1150200
4,residential,7219,1985,893000,138000,1031000
4,residential,9105,1961,868000,96800,964800
4,residential,8650,1959,1000000,237000,1237000
4,residential,8286,1961,937000,136000,1073000
4,residential,10442,1967,1046000,124000,1170000
4,residential,8697,1961,953000,62800,1015800
4,residential,12569,1957,1115000,99600,1214600
4,residential,8095,1979,958000,131000,1089000
4,residential,6726,1978,899000,224000,1123000
4,residential,14277,1967,1282000,212000,1494000
4,residential,10924,2012,115000,646000,761000
4,residential,10912,1958,1062000,122000,1184000
4,residential,10149,1967,1056000,516000,1572000
4,residential,11514,1958,974000,72100,1046100
4,residential,6490,1980,933000,162000,1095000
4,residential,8697,1955,1084000,25300,1109300
4,residential,8705,2010,982000,377000,1359000
4,residential,7668,1960,940000,95500,1035500
4,residential,5759,1967,827000,111000,938000
4,residential,5974,2003,905000,533000,1438000
4,townhouse,1284,2015,850000,0,850000
4,residential,7818,1968,946000,132000,1078000
4,residential,7130,1962,963000,139000,1102000
5,residential,7200,,94000,0,94000
5,school,13.68 acres,1973,4216000,17920000,22136000
5,residential,8708,1958,2109000,20800,2129800
5,residential,8710,1950,1315000,5800,1320800
5,residential,9595,1950,913000,17700,930700
5,townhouse,1179,1976,558000,108000,666000
5,residential,7818,1938,967000,36900,1003900
5,townhouse,1179,1988,488400,0,488400
5,residential,8712,1940,1777000,6600,1783600
5,residential,8715,1969,1004000,164000,1168000
5,residential,8714,1955,1004000,84100,1088100
5,residential,8709,1937,1004000,49100,1053100
5,residential,8713,2018,1004000,886000,1890000
5,residential,8712,1903,904000,305000,1209000
5,residential,8703,1977,139400,16300,155700
5,residential,9235,1949,1076000,20100,1096100
5,residential,8753,1967,1006000,117000,1123000
5,residential,7194,2016,1034000,983000,2017000
5,retail store,8712,1958,1742000,67700,1809700
5,residential,8705,1967,934000,112000,1046000
5,retail store,8712,1969,1742000,148000,1890000
5,residential,8709,1910,924000,73600,997600
5,residential,8705,1959,1004000,73500,1077500
5,townhouse,897,1969,364000,0,364000
